"","faa","lat","lon"
"223","BOI",43.564361,-116.222861
"224","BOS",42.364347,-71.005181
"225","BOW",27.9434,-81.7834
"226","BPT",29.950833,-94.020694
"227","BQK",31.2588,-81.4665
"228","BRD",46.398308,-94.138078
"229","BRL",40.7832,-91.1255
"230","BRO",25.906833,-97.425861
"231","BRW",71.285446,-156.766003
"232","BSF",19.760056,-155.553717
"233","BTI",70.133989,-143.581867
"234","BTM",45.954806,-112.497472
"235","BTR",30.533167,-91.149639
"236","BTT",66.913944,-151.529056
"237","BTV",44.471861,-73.153278
"238","BUF",42.940525,-78.732167
"239","BUR",34.200667,-118.358667
"240","BUU",42.6907171,-88.3046825
"241","BUY",36.0485433,-79.4748892
"242","BVY",42.584141,-70.9161444
"243","BWD",31.7936111,-98.9565
"244","BWG",36.9645278,-86.4196667
"245","BWI",39.175361,-76.668333
"246","BXK",33.420417,-112.68618
"247","BXS",33.2590278,-116.3209722
"248","BYH",35.964347,-89.943956
"249","BYS",35.280531,-116.630031
"250","BYW",48.56025,-122.80243
"251","BZN",45.777643,-111.160151
"252","C02",42.6149167,-88.3895833
"253","C16",40.144979,-88.200197
"254","C47",43.5603136,-89.4828607
"255","C65",41.3651307,-86.3002574
"256","C89",42.70325,-87.9589722
"257","C91",41.9929342,-86.1280125
"258","CAE",33.938833,-81.119528
"259","CAK",40.9160833,-81.4421944
"260","CAR",46.8715,-68.017917
"261","CBE",39.615278,-78.760556
"262","CBM",33.643833,-88.443833
"263","CCO",33.3115656,-84.7697554
"264","CCR",37.9896667,-122.0568889
"265","CDB",55.206061,-162.725436
"266","CDC",37.700967,-113.098847
"267","CDI",39.9750278,-81.5775833
"268","CDK",29.1342222,-83.0504722
"269","CDN",34.2835833,-80.5648611
"270","CDR",42.8375,-103.095556
"271","CDS",34.433781,-100.287992
"272","CDV",60.491778,-145.477556
"273","CDW",40.8752222,-74.2813611
"274","CEC",41.7802,-124.237
"275","CEF",42.194014,-72.534783
"276","CEM",65.573889,-144.780833
"277","CEU",34.6722222,-82.8858889
"278","CEW",30.778833,-86.522111
"279","CEZ",37.303,-108.628056
"280","CFD",30.715694,-96.331361
"281","CGA",55.478889,-133.147778
"282","CGC",28.8676111,-82.5741111
"283","CGF",41.565124,-81.4863555
"284","CGI",37.2253,-89.5708
"285","CGX",41.860278,-87.609722
"286","CGZ",32.954889,-111.766832
"287","CHA",35.035278,-85.203808
"288","CHI",41.883611,-87.631667
"289","CHO",38.138639,-78.452861
"290","CHS",32.898647,-80.040528
"291","CHU",61.579167,-159.215556
"292","CIC",39.795383,-121.858422
"293","CID",41.884694,-91.710806
"294","CIK",66.645,-143.74
"295","CIL",64.897778,-163.703333
"296","CIU",46.2508,-84.4724
"297","CKB",39.2966,-80.2281
"298","CKD",61.867778,-158.135
"299","CKF",31.9888333,-83.7739167
"300","CKV",36.621944,-87.415
"301","CLC",29.5569,-95.137497
"302","CLD",33.0742,-117.1648
"303","CLE",41.411689,-81.849794
"304","CLL",30.588583,-96.363833
"305","CLM",48.1202,-123.5
"306","CLS",46.4062,-122.5897
"307","CLT",35.214,-80.943139
"308","CLW",27.9764722,-82.7586667
"309","CMH",39.997972,-82.891889
"310","CMI",40.03925,-88.278056
"311","CMX",47.1684,-88.4891
"312","CNM",32.337472,-104.263278
"313","CNW",31.637831,-97.074139
"314","CNY",38.755,-109.754722
"315","COD",44.520194,-109.023806
"316","COE",47.7743056,-116.8195833
"317","COF",28.234922,-80.610125
"318","COI",28.3416111,-80.6854722
"319","CON",43.20267,-71.50233
"320","COS",38.805805,-104.700778
"321","COT",28.456694,-99.220294
"322","COU",38.818094,-92.219631
"323","CPR",42.908,-106.464417
"324","CPS",38.5707244,-90.1562211
"325","CRE",33.81175,-78.7239444
"326","CRP",27.770361,-97.501222
"327","CRW",38.373147,-81.593189
"328","CSG",32.5163333,-84.9388611
"329","CTB",48.608353,-112.376144
"330","CTH",39.9789,-75.8654
"331","CTJ",33.6316964,-85.1522641
"332","CTY",29.6355278,-83.10475
"333","CVG",39.048836,-84.667822
"334","CVN",34.425139,-103.079278
"335","CVO",44.5067,-123.2915
"336","CVS",34.382775,-103.322147
"337","CVX",45.3047778,-85.2753333
"338","CWA",44.772726,-89.646635
"339","CWI",41.83075,-90.3289722
"340","CWT",34.256944,-118.598889
"341","CXF",67.251389,-150.176111
"342","CXL",32.669502,-115.51333
"343","CXO",30.351833,-95.414467
"344","CXY",40.2171389,-76.8513611
"345","CYF",60.149167,-164.285556
"346","CYM",57.515,-134.946111
"347","CYS",41.155722,-104.811839
"348","CYT",60.081901,-142.493611
"349","CZF",61.780297,-166.038747
"350","CZG",42.0471,-76.0578
"351","CZN",62.071111,-142.048333
"352","DAB",29.179917,-81.058056
"353","DAL",32.847111,-96.851778
"354","DAW",43.2840556,-70.9292778
"355","DAY",39.902375,-84.219375
"356","DBN",32.3388,-82.591
"357","DBQ",42.402,-90.709472
"358","DCA",38.852083,-77.037722
"359","DDC",37.7634,-99.9656
"360","DEC",39.834564,-88.865689
"361","DEN",39.861656,-104.673178
"362","DET",42.409195,-83.009861
"363","DFW",32.896828,-97.037997
"364","DGL",31.3426028,-109.5064544
"365","DHB",48.618397,-123.00596
"366","DHN",31.321339,-85.449628
"367","DHT",36.022586,-102.547278
"368","DIK",46.7975,-102.801944
"369","DKB",41.9338342,-88.7056864
"370","DKK",42.4933353,-79.2720417
"371","DKX",35.9638333,-83.8736667
"372","DLF",29.359486,-100.777975
"373","DLG",59.044667,-158.5055
"374","DLH",46.842091,-92.193649
"375","DLL",43.5217843,-89.7709266
"376","DMA",32.166467,-110.883144
"377","DNL",33.4665028,-82.0393808
"378","DNN",34.7229444,-84.87025
"379","DNV",40.1996944,-87.5955278
"380","DOV",39.129539,-75.465958
"381","DPA",41.907778,-88.248611
"382","DQH",31.4767385,-82.8605664
"383","DRG",66.0696,-162.766
"384","DRI",30.831722,-93.339917
"385","DRM",46.0093114,-83.7439342
"386","DRO",37.151516,-107.75377
"387","DRT",29.374208,-100.927158
"388","DSM",41.533972,-93.663083
"389","DTA",39.3806386,-112.5077147
"390","DTS",30.4000611,-86.4714772
"391","DTW",42.212444,-83.353389
"392","DUC",34.4713056,-97.9598611
"393","DUG",31.469028,-109.603667
"394","DUJ",41.1783,-78.8987
"395","DUT",53.900139,-166.5435
"396","DVL",48.114444,-98.908611
"397","DVT",33.4117,112.457
"398","DWA",38.5793889,-121.8569444
"399","DWH",30.063746,-95.554276
"400","DWS",28.398,-81.57
"401","DXR",41.3715353,-73.4821906
"402","DYS",32.420756,-99.8546
"403","E25",33.96889877,-112.7990036
"404","E51",34.5958528,-113.170195
"405","E55",38.8016111,-123.5306389
"406","E63",32.960169,-112.673636
"407","E91",36.1108806,-109.5754222
"408","EAA",64.778056,-141.149722
"409","EAR",40.727,-99.0068
"410","EAT",47.398,-120.206
"411","EAU",44.8658,-91.4843
"412","ECA",44.311,-83.422
"413","ECG",36.260581,-76.174572
"414","ECP",30.3417,-85.7973
"415","EDF",61.250986,-149.806503
"416","EDW",34.905417,-117.883739
"417","EEK",60.213611,-162.043889
"418","EEN",72.270833,42.898333
"419","EET",33.1777778,-86.7832222
"420","EFD",29.607333,-95.15875
"421","EGA",39.6427611,-106.9159347
"422","EGE",39.642556,-106.917694
"423","EGT",37.39411,-97.423225
"424","EGV",45.932333,-89.268283
"425","EGX",58.185556,-157.375556
"426","EHM",58.646428,-162.062778
"427","EIL",64.665667,-147.1015
"428","EKI",41.719444,-86.003333
"429","EKN",38.889444,-79.857139
"430","EKO",40.8249,-115.792
"431","EKY",33.1876,-86.5558
"432","ELD",33.220972,-92.813278
"433","ELI",64.615,-162.270556
"434","ELM",42.159889,-76.891611
"435","ELP",31.80725,-106.377583
"436","ELV",58.195278,-136.3475
"437","ELY",39.299722,-114.841944
"438","EMK",62.786111,-164.490833
"439","EMP",38.3321,-96.1912
"440","ENA",60.573111,-151.245
"441","END",36.339167,-97.9165
"442","ENV",40.718694,-114.030889
"443","ENW",42.5956944,-87.9278056
"444","EOK",40.4599078,-91.4285011
"445","EPM",44.9101111,-67.0126944
"446","EQY",35.01833,-80.62001
"447","ERI",42.082022,-80.176217
"448","ERV",29.9766667,-99.0854722
"449","ERY",46.311199,-85.457298
"450","ESC",45.722778,-87.093611
"451","ESD",48.708056,-122.910556
"452","ESF",31.394903,-92.295772
"453","ESN",38.8041667,-76.069
"454","EUF",31.5708,-85.0774
"455","EUG",44.124583,-123.211972
"456","EVV",38.036997,-87.532364
"457","EVW",41.1649,-111.0208
"458","EWB",41.6761,-70.9569
"459","EWK",38.0570785,-97.2752278
"460","EWN",35.072972,-77.042944
"461","EWR",40.6925,-74.168667
"462","EXI",58.420556,-135.449167
"463","EYW",24.556111,-81.759556
"464","F57",28.0575,-81.7628056
"465","FAF",37.1325,-76.608841
"466","FAI",64.815114,-147.856267
"467","FAR",46.92065,-96.8157639
"468","FAT",36.776194,-119.71814
"469","FAY",34.9912,-78.8803
"470","FBG",38.298416,-77.456875
"471","FBK",64.8375,-147.614444
"472","FBR",41.236,-110.2436
"473","FBS",48.537222,-123.009722
"474","FCA",48.310472,-114.256
"475","FCM",44.4938,-93.2726
"476","FCS",38.678394,-104.756581
"477","FDW",34.315472,-81.108806
"478","FDY",41.0120278,-83.6686111
"479","FFA",36.02,-75.67
"480","FFC",33.35725,-84.5718333
"481","FFO",39.826111,-84.048332
"482","FFT",38.1819722,-84.9061389
"483","FFZ",33.4608001708984,-111.727996826172
"484","FHU",31.588472,-110.344389
"485","FIT",42.5541111,-71.7589722
"486","FKL",41.377874,-79.860362
"487","FLD",43.7711667,-88.4884167
"488","FLG",35.140318,-111.6692392
"489","FLL",26.072583,-80.15275
"490","FLO",34.185361,-79.723889
"491","FLV",39.368332,-94.914686
"492","FME",39.085386,-76.759414
"493","FMH",41.658439,-70.521417
"494","FMN",36.74125,-108.229944
"495","FMY",26.586611,-81.86325
"496","FNL",40.451828,-105.011336
"497","FNR",58.254444,-134.897778
"498","FNT",42.965424,-83.743629
"499","FOD",42.5512,-94.191842
"500","FOE",38.950944,-95.663611
"501","FOK",40.843656,-72.631789
"502","FRD",48.521944,-123.024444
"503","FRI",39.055275,-96.764453
"504","FRN",61.266381,-149.653119
"505","FRP",27.497472,-80.372638
"506","FSD",43.582014,-96.741914
"507","FSI",34.649833,-98.402167
"508","FSM",35.336583,-94.367444
"509","FST",30.915667,-102.916139
"510","FTK",37.907058,-85.972106
"511","FTW",32.819778,-97.362444
"512","FTY",33.7791,-84.5214
"513","FUL",33.521925,-117.584722
"514","FWA",40.978472,-85.195139
"515","FXE",26.197281,-80.170706
"516","FYU",66.571492,-145.250417
"517","FYV",36.005094,-94.170059
"518","FZG",31.6839046,-83.2709036
"519","FZI",41.1908333,-83.3930833
"520","GAD",33.9726489,-86.0890834
"521","GAI",39.1006,-77.09576
"522","GAL",64.736178,-156.937417
"523","GAM",63.7668,-171.733
"524","GBN",38.344167,-98.859167
"525","GCC",44.3489167,-105.5393611
"526","GCK",37.927528,-100.724417
"527","GCN",35.9523611,-112.1469722
"528","GCW",35.5925,-113.4859
"529","GDV",47.138611,-104.807222
"530","GDW",43.9705893,-84.47502
"531","GED",38.689194,-75.358889
"532","GEG",47.619861,-117.533833
"533","GEU",33.5269167,-112.2951389
"534","GFK",47.949256,-97.176111
"535","GFL",43.341222,-73.610305
"536","GGE",33.3114018,-79.3203139
"537","GGG",32.384014,-94.711486
"538","GGW",48.2125,-106.615
"539","GHG",42.09825,-70.6721389
"540","GIF",28.062778,-81.753333
"541","GJT",39.122413,-108.526735
"542","GKN",62.154888,-145.456639
"543","GKY",32.6638611,-97.0942778
"544","GLD",39.370621,-101.698992
"545","GLH",33.4829,-90.9856
"546","GLS",29.265322,-94.860406
"547","GLV",64.550556,-163.007222
"548","GNT",35.167286,-107.901989
"549","GNU",59.1175,-161.5775
"550","GNV",29.690056,-82.271778
"551","GON",41.330056,-72.045139
"552","GPT",30.407278,-89.070111
"553","GPZ",47.211111,-93.509722
"554","GQQ",40.7533889,-82.7238056
"555","GRB",44.485072,-88.129589
"556","GRF",47.079217,-122.580783
"557","GRI",40.9675,-98.3096
"558","GRK",31.06725,-97.828917
"559","GRM",47.8383333,-90.3829444
"560","GRR",42.880833,-85.522806
"561","GSB",35.339383,-77.960589
"562","GSO",36.09775,-79.937306
"563","GSP",34.895556,-82.218889
"564","GST",58.4253,-135.707
"565","GTB",44.055619,-75.719458
"566","GTF",47.482,-111.370689
"567","GTR",33.450333,-88.591361
"568","GTU",30.678809,-97.6793837
"569","GUC",38.533889,-106.933056
"570","GUP",35.511058,-108.789308
"571","GUS",40.648094,-86.152119
"572","GVL",34.272627,-83.8302233
"573","GVQ",43.03175,-78.1696667
"574","GVT",33.067839,-96.065333
"575","GWO",33.494328,-90.084706
"576","GYY",41.6163,-87.4128
"577","HBG",31.2649444,-89.2528889
"578","HBR",34.991308,-99.051353
"579","HCC",42.2913,-73.7103
"580","HCR",62.1883,-159.775
"581","HDH",21.579475,-158.197281
"582","HDI",35.2199994,-84.832369
"583","HDN",40.481181,-107.21766
"584","HDO",29.3591,-99.1775
"585","HFD",41.736722,-72.649444
"586","HGR",39.7079,-77.7295
"587","HHH",32.216,-80.752
"588","HHI",21.4835,-158.039667
"589","HHR",33.922839,-118.335186
"590","HIB",47.3866,-92.838994
"591","HIF",41.123939,-111.973039
"592","HII",34.5711111,-114.3582778
"593","HIO",45.540394,-122.949825
"594","HKB",63.8675,-148.968889
"595","HKY",35.741147,-81.38955
"596","HLG",40.175,-80.6463
"597","HLN",46.606806,-111.98275
"598","HLR",31.138731,-97.714469
"599","HMN",32.852519,-106.106525
"600","HNH",58.096111,-135.409722
"601","HNL",21.318681,-157.922428
"602","HNM",20.795636,-156.014439
"603","HNS",59.2438,-135.524
"604","HOB",32.687528,-103.217028
"605","HOM",59.645556,-151.476583
"606","HON",44.3852,-98.228542
"607","HOP",36.668567,-87.496183
"608","HOT",34.478,-93.0962
"609","HOU",29.645419,-95.278889
"610","HPB",61.5239,-166.147
"611","HPN",41.066959,-73.707575
"612","HQM",46.9711944,-123.9365556
"613","HQU",33.5297315,-82.5169509
"614","HRL",26.2285,-97.654389
"615","HRO",36.261519,-93.154728
"616","HRT",30.427803,-86.689278
"617","HSH",35.972778,-115.134444
"618","HSL",65.697778,-156.351389
"619","HST",25.48855,-80.383567
"620","HSV",34.6371944,-86.7750556
"621","HTL",44.359806,-84.671112
"622","HTS",38.3667,-82.558
"623","HUA",34.678653,-86.684781
"624","HUF",39.451464,-87.307561
"625","HUL",46.123083,-67.792056
"626","HUS",66.039167,-154.264722
"627","HUT",38.0655,-97.8606
"628","HVN",41.26375,-72.886806
"629","HVR",48.542983,-109.762342
"630","HWD",37.6588888888889,-122.121666666667
"631","HWO",26.001222,-80.240722
"632","HXD",32.2243611,-80.6974722
"633","HYA",41.669336,-70.280356
"634","HYG",55.206389,-132.828333
"635","HYL",55.481667,-132.646111
"636","HYS",38.8422,-99.2732
"637","HZL",40.989167,-76.0025
"638","IAB",37.621853,-97.268192
"639","IAD",38.944533,-77.455811
"640","IAG",43.107333,-78.946194
"641","IAH",29.984433,-95.341442
"642","IAN",66.975833,-160.436667
"643","ICT",37.649944,-97.433056
"644","ICY",59.968889,-141.661667
"645","IDA",43.514556,-112.07075
"646","IDL",40.639751,-73.778924
"647","IFP",35.1574,-114.56
"648","IGG",59.324,-155.902
"649","IGM",35.2595,-113.938
"650","IGQ",41.5349167,-87.5295278
"651","IJD",41.7440278,-72.1802222
"652","IKK",41.071389,-87.846278
"653","IKO",52.941667,-168.848889
"654","IKR",35.040222,-106.609194
"655","IKV",41.691389,-93.566389
"656","ILG",39.678722,-75.606528
"657","ILI",59.754356,-154.910961
"658","ILM",34.270615,-77.902569
"659","ILN",39.42792,-83.792118
"660","IMM",26.433889,-81.401389
"661","IMT",45.8183611,-88.1145556
"662","IND",39.717331,-86.294383
"663","INJ",32.083486,-97.097228
"664","INK",31.779628,-103.201361
"665","INL",48.566186,-93.403067
"666","INS",36.587183,-115.673353
"667","INT",36.133722,-80.222
"668","INW",35.0219167,-110.7225278
"669","IOW",41.639244,-91.546503
"670","IPL",32.834219,-115.578744
"671","IPT",41.241836,-76.921094
"672","IRC",65.827778,-144.076111
"673","IRK",40.0935,-92.5449
"674","ISM",28.289806,-81.437083
"675","ISN",48.177939,-103.642347
"676","ISO",35.331389,-77.608889
"677","ISP",40.79525,-73.100222
"678","ISW",44.3606456,-89.8381412
"679","ITH",42.491028,-76.458444
"680","ITO",19.721375,-155.048469
"681","IWD",46.5274747,-90.1313967
"682","IWS",29.818194,-95.672611
"683","IYK",35.658889,-117.829444
"684","IZG",43.9911389,-70.9478889
"685","JAC",43.607333333,-110.73775
"686","JAN",32.311167,-90.075889
"687","JAX",30.494056,-81.687861
"688","JBR",35.831708,-90.646417
"689","JCI",38.8309167,-94.8903056
"690","JEF",38.5912,-92.1561
"691","JES",31.553889,-81.8825
"692","JFK",40.639751,-73.778925
"693","JGC",35.96666666,-112.13333333
"694","JHM",20.962936,-156.673031
"695","JHW",42.153333,-79.258056
"696","JKA",30.2896389,-87.6717778
"697","JLN",37.151814,-94.498269
"698","JMS",46.9297,-98.6782
"699","JNU",58.354972,-134.576278
"700","JOT",41.517778,-88.175556
"701","JRA",40.7545,-74.0071
"702","JRB",40.701214,-74.009028
"703","JST",40.316111,-78.833889
"704","JVL",42.62025,-89.0415556
"705","JXN",42.260556,-84.460556
"706","JYL",32.6452778,-81.5971111
"707","JYO",39.078,-77.558
"708","JZP",34.4534722,-84.4572222
"709","K03",70.613378,-159.86035
"710","K27",42.893133,-73.66845
"711","K83",39.5425,-95.4677
"712","KAE",56.973056,-133.945556
"713","KAL",64.3191,-158.741
"714","KBC",66.256708,-145.815319
"715","KBW",56.295556,-158.401398
"716","KCC",56.014722,-132.833889
"717","KCL",56.311111,-158.534167
"718","KCQ",56.255,-158.775278
"719","KEH",47.7548,-122.259
"720","KEK",59.356944,-157.471111
"721","KFP",54.8475,-163.410278
"722","KGK",59.726667,-157.259444
"723","KGX",62.894444,-160.065
"724","KKA",64.939444,-161.154167
"725","KKB",58.190833,-152.370556
"726","KKH",59.960833,-162.881111
"727","KLG",61.5363,-160.341
"728","KLL",59.128056,-156.858611
"729","KLN",57.535,-153.976667
"730","KLS",46.118,-122.898389
"731","KLW",55.579167,-133.076111
"732","KMO",58.990278,-159.05
"733","KMY",57.025556,-154.145833
"734","KNW",59.4499,-157.328
"735","KOA",19.738767,-156.045631
"736","KOT",63.030556,-163.532778
"737","KOY",57.161389,-154.229722
"738","KOZ",57.922876,-152.500511
"739","KPB",56.351944,-133.6225
"740","KPC",65.2537,-166.859
"741","KPN",59.933056,-164.030556
"742","KPR",58.49,-152.582222
"743","KPV",55.906667,-159.160833
"744","KPY",57.93,-153.040556
"745","KQA",54.1325,-165.785
"746","KSM",62.0605,-163.302
"747","KTB",55.688056,-132.536667
"748","KTN",55.355556,-131.71375
"749","KTS",65.331389,-166.465833
"750","KUK",60.873333,-162.524444
"751","KVC",55.1163,-162.266
"752","KVL",67.7362,-164.563
"753","KWK",59.876389,-163.168611
"754","KWN",59.755,-161.845278
"755","KWP",57.77,-153.548889
"756","KWT",60.790278,-161.443611
"757","KYK",57.566944,-154.450278
"758","KYU",64.875833,-157.730556
"759","KZB",57.55,-153.75
"760","L06",36.273,-116.515
"761","L35",34.2637778,-116.8560278
"762","L52",35.10147222,-120.62236111
"763","LAA",38.069694,-102.6885
"764","LAF",40.4123056,-86.9368889
"765","LAL",27.9889167,-82.0185556
